Word,Auditory.mean,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
A,1,0,0,0,0,0,0,0,0,0,0
A CAPPELLA,1,0,0,0,0,1,0,1,0,1,0
AARDVARK,1,0,1,0,1,0,0,0,1,0,1
ABACK,0,0,0,0,0,1,1,0,0,0,0
ABACUS,1,0,0,1,1,1,0,0,0,0,1
ABANDON,0,1,0,0,0,1,1,0,0,1,0
ABANDONED,0,1,0,0,0,1,1,0,0,0,0
ABANDONEE,1,0,0,0,1,0,0,0,0,1,1
ABANDONER,0,1,0,0,0,0,1,0,0,0,0
ABANDONMENT,1,0,0,0,1,0,1,0,0,0,1
ABASEMENT,1,0,0,0,0,0,1,1,0,0,1
ABBREVIATE,1,0,0,1,0,0,0,1,0,0,0
ABBREVIATED,1,0,0,0,0,0,0,1,0,0,1
ABBREVIATION,1,0,0,0,0,0,0,0,0,0,1
ABDICATE,1,1,0,0,0,1,0,1,0,0,1
ABDOMEN,0,0,0,0,1,0,1,0,0,1,1
ABDOMINAL,0,0,0,0,1,0,1,0,0,1,1
ABDOMINALLY,0,0,1,0,0,0,1,0,0,1,0
ABDUCT,1,1,0,1,0,1,0,1,0,1,0
ABDUCTEE,0,1,0,1,0,1,0,1,0,1,1
ABDUCTION,1,1,0,1,1,0,1,1,0,1,1
ABDUCTOR,1,1,0,1,1,1,0,1,0,1,1
ABHOR,1,0,0,0,0,0,1,0,0,0,0
ABHORRENCE,0,0,0,0,0,1,1,1,1,0,0
ABHORRENTLY,1,0,1,0,0,0,1,1,1,0,0
ABHORRING,0,0,0,0,0,1,1,1,0,0,0
ABIDE,0,0,0,0,0,0,1,1,0,0,0
ABIDING,0,0,0,0,0,1,1,0,0,0,0
ABIDINGLY,1,0,0,0,0,0,1,0,0,0,0
ABILITY,0,1,0,1,0,1,1,1,0,1,0
ABLAZE,0,0,0,0,1,1,0,0,1,0,1
ABLE,0,1,1,1,1,1,1,1,1,1,0
ABLY,0,1,0,1,0,1,1,1,0,1,0
ABNORMAL,1,0,1,0,1,1,1,0,1,0,1
ABNORMALITY,0,0,1,0,1,1,1,0,1,0,1
ABNORMALLY,0,1,1,0,1,1,1,0,1,1,0
ABOARD,0,1,0,1,0,1,0,1,0,1,0
ABODE,0,1,0,0,1,1,0,1,1,1,1
ABOLISH,1,0,0,0,0,1,1,0,0,0,0
ABOLISHABLE,1,0,0,0,0,0,0,0,0,0,0
ABOLISHER,0,0,0,0,0,0,0,0,0,0,0
ABOLISHMENT,1,0,0,0,0,0,0,1,0,0,0
ABOLITION,0,0,0,0,0,0,1,0,0,0,0
ABOLITIONISM,1,0,0,0,0,0,0,1,0,0,0
ABOLITIONIST,1,0,0,0,0,0,0,0,0,0,0
ABOMINABLE,1,0,0,0,0,0,1,0,0,0,0
ABOMINABLENESS,1,0,1,0,0,1,1,1,1,0,1
ABOMINABLY,1,0,1,0,0,0,1,0,1,1,0
ABOMINATE,0,1,1,1,0,0,1,1,1,1,0
ABOMINATION,1,0,0,0,0,1,1,0,0,0,1
ABORIGINAL,1,0,0,0,0,0,0,0,0,0,1
ABORT,1,1,0,0,0,0,1,0,0,0,0
ABORTED,1,1,1,1,0,0,1,1,1,1,1
ABORTION,0,1,0,0,0,0,1,0,0,1,0
ABORTIONIST,1,0,0,1,0,0,0,0,0,1,0
ABORTIVE,1,0,0,0,0,0,0,0,0,1,0
ABORTIVELY,0,0,0,0,0,0,0,0,0,1,0
ABOUND,0,1,0,0,0,0,0,0,0,0,0
ABOUNDING,0,0,1,0,0,0,0,0,0,0,0
ABOUT,0,0,0,0,0,0,0,0,0,0,0
ABOVE,0,1,0,1,0,1,0,0,0,1,1
ABOVE ALL,0,1,0,0,0,0,1,1,0,1,0
ABOVEBOARD,1,0,0,0,0,1,1,1,0,0,1
ABOVEGROUND,0,1,0,1,0,1,0,0,1,1,1
ABOVEMENTIONED,0,0,0,0,0,0,0,1,0,0,0
ABRACADABRA,1,0,0,1,0,0,0,1,0,0,0
ABRASION,0,1,0,1,1,0,1,0,0,1,0
ABRASIVE,0,1,1,1,1,0,0,1,1,1,0
ABRASIVELY,1,0,0,1,1,0,1,1,0,0,0
ABRASIVENESS,1,1,1,1,1,1,1,1,0,1,0
ABREAST,0,1,0,1,0,0,0,0,0,1,1
ABRIDGE,0,0,0,0,0,0,0,0,0,0,0
ABRIDGED,0,0,0,0,0,0,0,0,0,0,0
ABRIDGMENT,0,0,0,0,0,0,0,0,0,0,0
ABROAD,1,1,1,1,0,1,0,1,1,1,0
ABRUPT,1,1,0,0,0,0,1,1,0,1,0
ABRUPTLY,1,1,0,1,0,0,0,0,0,0,1
ABRUPTNESS,1,1,0,0,0,0,1,1,0,0,1
ABSCESS,0,1,1,1,1,0,1,0,1,1,1
ABSCESSED,0,1,1,0,1,0,1,1,1,1,1
ABSENCE,1,0,1,0,0,1,1,0,1,1,1
ABSENT,0,0,1,0,0,1,0,0,0,0,1
ABSENTEE,0,1,0,0,0,1,0,1,0,1,0
ABSENTEEISM,0,1,0,1,0,1,0,1,0,1,0
ABSENTLY,0,0,0,0,0,1,1,0,0,0,0
ABSENTMINDED,1,0,0,0,0,1,1,0,0,0,0
ABSENTMINDEDLY,0,0,0,0,0,1,1,0,0,0,0
ABSENTMINDEDNESS,0,0,0,0,0,1,1,0,0,0,0
ABSENTNESS,0,1,0,1,0,1,1,1,0,1,1
ABSINTHE,0,1,1,1,0,1,1,1,1,1,0
ABSOLUTE,1,1,0,0,0,1,1,1,0,1,0
ABSOLUTELY,0,1,0,1,0,1,1,1,0,1,0
ABSOLUTENESS,1,0,0,0,0,0,1,0,0,0,0
ABSOLUTION,0,0,0,0,0,0,1,1,0,0,0
ABSOLUTISM,0,0,0,0,0,1,0,0,0,0,0
ABSOLUTIST,1,0,1,0,0,1,0,1,0,0,0
ABSOLVABLE,1,0,0,0,0,0,1,1,0,0,0
ABSOLVE,1,0,0,0,0,1,1,1,0,0,0
ABSORB,0,1,0,1,1,0,0,1,0,1,1
ABSORBABILITY,0,0,1,1,1,0,0,0,1,0,1
ABSORBABLE,0,0,0,1,1,0,0,0,0,0,1
ABSORBED,0,0,1,0,1,1,1,0,0,0,0
ABSORBENCY,0,0,0,1,1,0,0,0,0,0,0
ABSORBENT,0,0,0,1,1,0,0,0,0,0,1
ABSORBER,0,0,0,0,1,0,0,0,1,0,1
ABSORBING,0,1,1,0,1,1,1,1,0,1,0
ABSORBINGLY,0,0,1,1,1,1,0,1,0,1,0
ABSORPTION,0,0,1,0,1,0,1,1,0,1,1
ABSORPTIVENESS,0,0,0,1,1,0,0,0,0,0,1
ABSTAIN,0,0,1,0,0,1,1,0,0,1,0
ABSTAINER,0,0,0,0,0,0,0,0,0,0,0
ABSTENTION,0,0,0,0,0,0,0,1,0,1,0
ABSTINENCE,0,0,0,0,0,1,1,0,0,1,0
